,Level,total_time,total_words,raito,uniq,a1,a2,b1,b2,c1,c2
185,3,2985.9319999999975,6653.0,2.228115040797984,761.0,1357.0,1056.0,789.0,1049.0,798.0,0.0
186,3,2394.682999999991,6416.0,2.6792690305982148,817.0,1782.0,1284.0,890.0,1225.0,1018.0,0.0
187,3,6449.6870000000135,15596.0,2.418101839670664,1386.0,3536.0,2418.0,1981.0,2274.0,1693.0,0.0
188,3,4017.6269999999836,10497.0,2.6127363242033277,1520.0,2218.0,1713.0,1456.0,1498.0,1272.0,0.0
189,3,1960.8180000000052,4228.0,2.1562429557460145,775.0,928.0,718.0,580.0,715.0,460.0,0.0
190,4,3550.4839999999867,10756.0,3.029446126218296,1220.0,2629.0,1859.0,1197.0,1559.0,1345.0,0.0
192,4,3875.9410000000316,10891.0,2.8098982930854497,1340.0,2537.0,2059.0,1529.0,1968.0,1551.0,0.0
193,2,3331.763999999988,9003.0,2.702172182663608,1463.0,1823.0,1357.0,987.0,1335.0,1037.0,0.0
194,3,2727.1189999999965,7315.0,2.6823178599833777,1152.0,1770.0,1283.0,838.0,1213.0,1006.0,0.0
195,1,2203.1229999999996,5485.0,2.4896476501765905,847.0,1299.0,941.0,622.0,835.0,630.0,0.0
